"IR1","RED1","IR2","RED2","IR3","RED3","IR4","RED4"
1388,1822,35701,41660,161654,186146,239984,262143
1386,1799,35701,41660,161654,186146,240084,262143
1386,1799,35695,41653,161677,186182,238983,262143
1364,1795,35685,41641,161749,186225,238983,262143
1394,1811,35685,41641,161749,186225,238614,262143
1394,1811,35679,41653,161734,186139,240635,262143
1388,1807,35662,41636,161759,186148,240635,262143
1404,1809,35663,41637,161759,186148,241893,262143
1404,1809,35672,41634,161848,186148,245182,262143
1408,1868,35691,41635,161933,186420,245182,262143
1400,1812,35712,41681,161933,186420,244905,262143
1400,1812,35712,41681,161997,186495,240753,262143
1397,1867,35753,41776,162213,186680,240753,262143
1398,1807,35767,41727,162213,186680,239894,262143
1398,1807,35802,41736,162194,186702,234927,261704
1363,1805,35812,41766,162112,186517,234927,261704
1401,1785,35833,41759,162112,186517,234248,261001
1401,1785,35839,41775,162183,186471,237523,262143
1392,1859,35833,41782,162259,186514,237523,262143
1394,1807,35874,41798,162259,186514,240542,262143
1394,1807,35903,41815,162250,186519,253132,262143
1409,1856,35849,41828,162362,186592,253132,262143
1403,1796,35924,41842,162362,186592,253765,262143
1403,1796,35954,41892,162348,186632,250726,262143
1367,1797,35971,41914,162170,186475,250726,262143
1395,1801,35958,41933,162170,186475,249614,262143
1395,1801,36124,42083,162092,186440,246295,262143
1376,1796,36124,42083,162197,186526,246295,262143
1391,1800,36084,42108,162197,186526,246100,262143
1391,1800,36417,42391,162202,186560,245180,262143
1401,1835,36417,42391,162319,186665,245180,262143
1389,1793,36474,42472,162319,186665,244945,262143
1389,1793,36541,42519,162314,186688,243722,262143
1363,1797,37301,43345,162332,186741,243722,262143
1405,1793,37533,43638,162332,186741,243602,262143
1405,1793,38024,44288,162275,186742,244332,262143
1368,1789,37937,44269,162162,186535,242947,262143
1383,1776,37913,44267,162135,186496,242944,262143
1383,1776,37910,44256,162103,186462,242972,262143
1396,1798,37792,44156,162128,186446,242892,262143
1378,1792,37783,44117,162128,186446,243356,262143
1378,1792,37719,44062,162105,186449,243646,262143
1382,1754,37719,44062,162035,186307,243646,262143
1385,1788,37741,44059,162035,186307,243231,262143
1385,1788,37765,44095,162004,186297,240453,262143
1415,1762,37765,44095,161963,186237,240453,262143
1382,1776,37751,44100,161963,186237,239889,262143
1382,1776,37676,43993,161934,186233,238431,262143
1373,1794,37676,43993,161879,186133,238431,262143
1372,1776,37616,43967,161879,186133,238320,262143
1372,1776,37598,43911,161902,186147,237332,262143
1423,1731,37598,43911,161876,186149,237332,262143
1375,1783,37623,43851,161876,186149,237866,262143
1375,1783,37592,43874,161853,186089,239264,262143
1422,1763,37592,43874,161720,185971,239264,262143
1380,1767,37592,43873,161720,185971,239157,262143
1380,1767,37573,43814,161709,185873,237462,262143
1407,1767,37573,43814,161511,185699,237462,262143
1374,1763,37608,43761,161511,185699,236986,262143
1374,1763,37550,43789,161486,185669,235974,262143
1397,1708,37550,43789,161523,185795,235974,262143
1361,1749,37586,43752,161523,185795,236095,262143
1361,1749,37481,43732,161517,185838,235973,262143
1385,1737,37481,43732,161485,185865,235973,262143
1350,1747,37489,43702,161485,185865,235892,262143
1357,1726,37436,43651,161492,185938,235182,262044
1362,1737,37436,43651,161502,186085,235182,262044
1351,1729,37481,43608,161502,186085,235106,261934
1351,1729,37447,43664,161509,186112,236024,262143
1316,1722,37447,43664,161635,186113,236024,262143
1345,1735,37505,43614,161635,186113,236026,262143
1345,1735,37398,43628,161611,186114,237480,262143
1345,1713,37398,43628,161075,185511,237480,262143
1346,1716,37396,43614,161075,185511,237756,262143
1346,1716,37293,43520,161021,185485,237659,262143
1403,1670,37293,43520,161069,185539,237659,262143
1351,1715,37285,43578,161069,185539,237419,262143
1351,1715,37193,43415,161066,185571,234883,261729
1320,1720,37193,43415,160982,185494,234883,261729
